what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.context.core,1361955109524
started,bundle,org.eclipse.mylyn.context.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.context.ui,1361955109524
started,bundle,org.eclipse.team.core,3.4.1.r34x_20080827,org.eclipse.team.core,1361955109524
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1361955109524
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1361955109524
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1361955109524
started,bundle,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui,1361955109524
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1361955109524
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1361955109524
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1361955109524
started,bundle,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.ide,1361955109524
started,bundle,org.eclipse.ui.navigator,3.3.101.M20080827-0800,org.eclipse.ui.navigator,1361955109524
started,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1361955109524
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1361955109524
started,bundle,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views,1361955109524
started,bundle,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,org.eclipse.ui.workbench,1361955109524
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1361955109524
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1361955109524
started,bundle,org.eclipse.update.core,3.2.201.R34x_v20080714,org.eclipse.update.core,1361955109524
started,bundle,org.eclipse.update.ui,3.2.100.v20080318,org.eclipse.update.ui,1361955109524
started,bundle,org.eclipse.wst.common.emf,1.1.202.v200809111955,org.eclipse.wst.common.emf,1361955109524
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.201.v200808071700,org.eclipse.wst.common.emfworkbench.integration,1361955109524
started,bundle,org.eclipse.wst.common.frameworks,1.1.200.v200805140020,org.eclipse.wst.common.frameworks,1361955109524
started,bundle,org.eclipse.wst.common.modulecore,1.1.203.v200809110700,org.eclipse.wst.common.modulecore,1361955109524
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.3.v200809102124,org.eclipse.wst.common.project.facet.core,1361955109524
