what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.ide.debug.ui,1.2.5.023247,com.aptana.ide.debug.ui,1361975623151
stopped,bundle,com.aptana.ide.ssh,1.2.5.023247,com.aptana.ide.ssh,1361975623151
stopped,bundle,com.aptana.ide.server.cloud,1.2.5.023247,com.aptana.ide.server.cloud,1361975623151
stopped,bundle,com.aptana.ide.db.ui,1.2.5.023247,com.aptana.ide.db.ui,1361975623151
stopped,bundle,com.aptana.ide.framework.jaxer.server.win32,1.2.5.023247,com.aptana.ide.framework.jaxer.server.win32,1361975623151
stopped,bundle,com.aptana.ide.framework.jaxer,1.2.5.023247,com.aptana.ide.framework.jaxer,1361975623161
stopped,bundle,com.aptana.ide.documentation,1.2.5.023247,com.aptana.ide.documentation,1361975623161
stopped,bundle,com.aptana.ide.editor.xml,1.2.5.023247,com.aptana.ide.editor.xml,1361975623171
stopped,bundle,com.aptana.ide.xul,1.2.5.023247,com.aptana.ide.xul,1361975623171
stopped,bundle,com.aptana.ide.editor.html,1.2.5.023247,com.aptana.ide.editor.html,1361975623171
stopped,bundle,com.aptana.ide.editor.css,1.2.5.023247,com.aptana.ide.editor.css,1361975623171
stopped,bundle,com.aptana.ide.syncing.professional,1.2.5.023029_200903161729,com.aptana.ide.syncing.professional,1361975623171
stopped,bundle,com.aptana.ide.syncing,1.2.5.023247,com.aptana.ide.syncing,1361975623171
stopped,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.5.023247,org.eclipse.eclipsemonkey.lang.javascript,1361975623171
stopped,bundle,org.eclipse.eclipsemonkey.ui,1.2.5.023247,org.eclipse.eclipsemonkey.ui,1361975623171
stopped,bundle,com.aptana.ide.editor.js,1.2.5.023247,com.aptana.ide.editor.js,1361975623171
stopped,bundle,com.aptana.ide.editor.text,1.2.5.023247,com.aptana.ide.editor.text,1361975623171
stopped,bundle,com.aptana.ide.samples,1.2.5.023247,com.aptana.ide.samples,1361975623171
stopped,bundle,com.aptana.ide.search,1.2.5.023247,com.aptana.ide.search,1361975623171
stopped,bundle,com.aptana.ide.search.epl,1.2.5.023247,com.aptana.ide.search.epl,1361975623171
stopped,bundle,com.aptana.ide.io.file,1.2.5.023247,com.aptana.ide.io.file,1361975623171
stopped,bundle,com.aptana.ide.editors.codeassist,1.2.5.023247,com.aptana.ide.editors.codeassist,1361975623171
stopped,bundle,com.aptana.ide.intro,1.2.5.023247,com.aptana.ide.intro,1361975623171
stopped,bundle,com.aptana.ide.server.portal,1.2.5.023247,com.aptana.ide.server.portal,1361975623171
stopped,bundle,com.aptana.ide.update,1.2.5.023247,com.aptana.ide.update,1361975623171
