what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.202.v200806190413,org.eclipse.jst.ws.axis2.ui,1361975624333
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.300.v200805140230,org.eclipse.jst.ws.uddiregistry,1361975624333
stopped,bundle,org.eclipse.jst.ws.ui,1.0.303.v200808070608,org.eclipse.jst.ws.ui,1361975624333
stopped,bundle,org.python.pydev.debug,1.4.4.2636,org.python.pydev.debug,1361975624333
stopped,bundle,org.python.pydev.refactoring,1.4.4.2636,org.python.pydev.refactoring,1361975624333
stopped,bundle,org.python.pydev.templates,1.4.4.2636,org.python.pydev.templates,1361975624333
stopped,bundle,org.python.pydev,1.4.4.2636,org.python.pydev,1361975624403
stopped,bundle,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui,1361975624683
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.bugzilla.ui,1361975624683
stopped,bundle,org.eclipse.mylyn.ide.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.ide.ui,1361975624683
stopped,bundle,org.eclipse.team.svn.mylyn,0.7.7.I20090224-1900,org.eclipse.team.svn.mylyn,1361975624683
stopped,bundle,org.eclipse.mylyn.team.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.team.ui,1361975624683
stopped,bundle,org.eclipse.mylyn.resources.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.resources.ui,1361975624683
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.0.0.v20090315-1500-e3x,org.eclipse.mylyn.wikitext.tasks.ui,1361975624683
stopped,bundle,org.eclipse.mylyn.context.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.context.ui,1361975624683
stopped,bundle,org.eclipse.mylyn.help.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.help.ui,1361975624683
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.tasks.bugs,1361975624683
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.tasks.ui,1361975624683
stopped,bundle,org.eclipse.rse.importexport,1.1.0.v20080604,org.eclipse.rse.importexport,1361975624683
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.1.0.v20080604,org.eclipse.rse.subsystems.shells.telnet,1361975624683
stopped,bundle,org.eclipse.rse.shells.ui,3.0.1.v20080710,org.eclipse.rse.shells.ui,1361975624683
stopped,bundle,org.eclipse.rse.files.ui,3.0.1.v200809171600,org.eclipse.rse.files.ui,1361975624683
stopped,bundle,org.eclipse.rse.processes.ui,3.0.1.v20080714,org.eclipse.rse.processes.ui,1361975624683
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1361975624683
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.102.v200809101946,org.eclipse.wst.wsdl.ui,1361975624683
