what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.0.0.v20090315-1500-e3x,org.eclipse.mylyn.wikitext.ui,1361975624994
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.0.v200809110140,org.eclipse.rse.subsystems.files.dstore,1361975625004
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.0.v20080604,org.eclipse.rse.subsystems.processes.dstore,1361975625004
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.dstore,1361975625004
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.0.1.v200809181500,org.eclipse.rse.connectorservice.dstore,1361975625004
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.0.v20080604,org.eclipse.rse.subsystems.files.local,1361975625004
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.0.v20080604,org.eclipse.rse.subsystems.processes.local,1361975625004
stopped,bundle,org.eclipse.rse.subsystems.shells.local,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.local,1361975625004
