what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.ssh,1.2.5.023247,com.aptana.ide.ssh,1361955109464
started,bundle,com.aptana.ide.syncing,1.2.5.023247,com.aptana.ide.syncing,1361955109464
started,bundle,com.aptana.ide.update,1.2.5.023247,com.aptana.ide.update,1361955109464
started,bundle,com.aptana.ide.xul,1.2.5.023247,com.aptana.ide.xul,1361955109464
started,bundle,com.ibm.icu,3.8.1.v20080530,com.ibm.icu,1361955109474
started,bundle,org.eclipse.core.contenttype,3.3.0.v20080604-1400,org.eclipse.core.contenttype,1361955109474
started,bundle,org.eclipse.core.databinding,1.1.1.M20080827-0800b,org.eclipse.core.databinding,1361955109474
started,bundle,org.eclipse.core.expressions,3.4.0.v20080603-2000,org.eclipse.core.expressions,1361955109474
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1361955109474
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1361955109474
started,bundle,org.eclipse.core.jobs,3.4.0.v20080512,org.eclipse.core.jobs,1361955109474
started,bundle,org.eclipse.core.net,1.1.0.I20080604,org.eclipse.core.net,1361955109474
started,bundle,org.eclipse.core.resources,3.4.1.R34x_v20080902,org.eclipse.core.resources,1361955109474
started,bundle,org.eclipse.core.runtime,3.4.0.v20080512,org.eclipse.core.runtime,1361955109474
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20071008,org.eclipse.core.runtime.compatibility,1361955109474
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20070502,org.eclipse.core.runtime.compatibility.auth,1361955109474
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1361955109474
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1361955109474
started,bundle,org.eclipse.eclipsemonkey,1.2.5.023247,org.eclipse.eclipsemonkey,1361955109474
started,bundle,org.eclipse.eclipsemonkey.doms,1.2.5.023247,org.eclipse.eclipsemonkey.doms,1361955109474
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.5.023247,org.eclipse.eclipsemonkey.lang.javascript,1361955109474
started,bundle,org.eclipse.emf.common,2.4.0.v200808251517,org.eclipse.emf.common,1361955109474
started,bundle,org.eclipse.emf.common.ui,2.4.0.v200808251517,org.eclipse.emf.common.ui,1361955109474
started,bundle,org.eclipse.emf.ecore,2.4.1.v200808251517,org.eclipse.emf.ecore,1361955109474
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200808251517,org.eclipse.emf.ecore.xmi,1361955109474
